name,price,category,country_of_origin,expiration_date,search_tags,description
frozen potatoes,707.06,canned,Poland,2019-10-28 00:00:00,domestic fruit,frozen
imported beef,632.3,legumes,Germany,2018-06-19 00:00:00,spicy fruit,domestic
smoked buns,699.25,vegetables,Poland,2020-08-08 00:00:00,dried vegetables,vacuum sealed
domestic broccoli,224.96,meat,Spain,2019-07-23 00:00:00,imported meat,smoked
smoked lentils,261.57,legumes,Morocco,2018-01-24 00:00:00,spicy dried,frozen
domestic bread,295.55,pastry,Morocco,2019-02-09 00:00:00,dried canned,vacuum sealed
vacuum sealed chicken,982.48,fruit,Germany,2020-06-18 00:00:00,dried legumes,dried
imported lentils,970.96,vegetables,Germany,2018-07-04 00:00:00,vacuum sealed dried,fresh
vacuum sealed broccoli,592.83,meat,Poland,2018-11-10 00:00:00,frozen vegetables,spicy
smoked broccoli,126.98,vegetables,Brazil,2020-10-11 00:00:00,smoked legumes,fresh
imported prawns,891.41,fruit,France,2018-11-20 00:00:00,vacuum sealed legumes,fresh
spicy potatoes,177.57,fruit,Morocco,2019-06-28 00:00:00,imported fruit,dried
fresh paprika,290.59,pastry,Poland,2019-04-27 00:00:00,spicy dried,fresh
smoked prawns,594.98,dried,Poland,2020-01-23 00:00:00,frozen canned,spicy
fresh chicken,361.39,fruit,Germany,2018-10-27 00:00:00,spicy meat,smoked
smoked beef,264.45,fruit,Spain,2019-02-26 00:00:00,dried dried,frozen
imported beef,492.43,processed food,China,2019-01-28 00:00:00,domestic vegetables,spicy
vacuum sealed beef,371.57,processed food,France,2019-08-05 00:00:00,spicy canned,imported
vacuum sealed lentils,124.94,meat,Germany,2018-07-28 00:00:00,frozen legumes,smoked
fresh paprika,34.03,meat,China,2018-02-26 00:00:00,frozen canned,vacuum sealed
domestic pork,44.55,canned,Spain,2020-10-21 00:00:00,smoked meat,frozen
imported pork,581.76,pastry,Morocco,2019-11-15 00:00:00,imported canned,dried
domestic prawns,615.34,canned,Spain,2020-03-15 00:00:00,imported legumes,dried
domestic tomato,737.31,legumes,Brazil,2018-11-06 00:00:00,domestic processed food,domestic
dried pork,191.44,legumes,Brazil,2018-09-14 00:00:00,vacuum sealed pastry,spicy
dried buns,936.63,processed food,Brazil,2020-06-14 00:00:00,fresh legumes,vacuum sealed
spicy tomato,67.44,pastry,Spain,2020-11-22 00:00:00,imported fruit,smoked
domestic chicken,93.41,legumes,Spain,2019-08-16 00:00:00,domestic meat,dried
spicy buns,911.54,vegetables,Germany,2018-02-23 00:00:00,domestic canned,imported
dried paprika,657.5,legumes,Spain,2020-03-24 00:00:00,imported meat,smoked
frozen tomato,227.1,canned,Morocco,2020-06-04 00:00:00,fresh pastry,smoked
fresh buns,197.03,dried,China,2018-08-14 00:00:00,spicy pastry,dried
domestic beans,245.04,meat,Poland,2018-08-06 00:00:00,vacuum sealed pastry,vacuum sealed
smoked chicken,871.75,pastry,Morocco,2018-11-06 00:00:00,frozen processed food,frozen
vacuum sealed beef,366.12,pastry,Germany,2020-07-03 00:00:00,spicy dried,vacuum sealed
smoked bread,981.77,legumes,Spain,2018-05-03 00:00:00,spicy processed food,fresh
frozen gurkin,83.88,processed food,France,2019-10-05 00:00:00,dried fruit,domestic
imported bread,518.41,dried,Brazil,2020-11-25 00:00:00,dried dried,domestic
frozen bread,338.31,legumes,China,2020-01-16 00:00:00,domestic pastry,fresh
spicy broccoli,988.79,processed food,Poland,2018-06-04 00:00:00,domestic canned,domestic
domestic broccoli,790.94,fruit,China,2020-04-11 00:00:00,domestic pastry,fresh
frozen pork,83.44,pastry,China,2018-02-01 00:00:00,smoked legumes,vacuum sealed
dried paprika,112.03,meat,Morocco,2020-10-03 00:00:00,domestic legumes,fresh
imported potatoes,302.91,processed food,Poland,2018-08-11 00:00:00,imported processed food,imported
vacuum sealed lentils,553.29,processed food,China,2020-12-12 00:00:00,vacuum sealed vegetables,vacuum sealed
spicy buns,409.68,meat,Morocco,2018-10-14 00:00:00,smoked meat,vacuum sealed
dried tomato,514.36,vegetables,Germany,2018-06-25 00:00:00,spicy canned,frozen
vacuum sealed gurkin,318.69,canned,Morocco,2020-11-13 00:00:00,domestic canned,smoked
smoked chicken,277.82,meat,Spain,2018-01-03 00:00:00,domestic pastry,fresh
imported beef,528.57,canned,China,2019-12-19 00:00:00,fresh vegetables,fresh
imported pork,816.01,vegetables,France,2018-11-26 00:00:00,spicy meat,dried
spicy pork,223.56,vegetables,Spain,2018-02-03 00:00:00,spicy pastry,imported
smoked paprika,767.85,legumes,Germany,2020-12-11 00:00:00,smoked legumes,imported
smoked lentils,624.52,dried,Poland,2020-07-13 00:00:00,smoked processed food,dried
smoked chicken,163.29,fruit,Spain,2019-10-03 00:00:00,dried fruit,spicy
fresh beef,724.29,processed food,Brazil,2019-05-28 00:00:00,spicy vegetables,domestic
smoked chicken,743.78,pastry,Spain,2019-07-15 00:00:00,fresh processed food,imported
domestic chicken,973.7,pastry,Germany,2020-07-21 00:00:00,dried canned,frozen
spicy buns,877.77,meat,China,2020-03-27 00:00:00,frozen legumes,domestic
imported prawns,283.04,legumes,France,2020-05-14 00:00:00,frozen legumes,vacuum sealed
fresh lentils,954.34,canned,Brazil,2020-05-22 00:00:00,frozen dried,fresh
dried broccoli,348.07,fruit,Poland,2020-08-10 00:00:00,spicy canned,frozen
smoked paprika,799.38,canned,Brazil,2018-03-09 00:00:00,frozen vegetables,spicy
smoked prawns,163.02,pastry,France,2020-09-18 00:00:00,spicy legumes,dried
vacuum sealed buns,259.76,processed food,China,2019-10-07 00:00:00,imported pastry,domestic
dried potatoes,292.82,vegetables,Morocco,2019-04-21 00:00:00,fresh dried,vacuum sealed
domestic chicken,165.47,pastry,China,2019-12-10 00:00:00,spicy legumes,imported
smoked prawns,661.68,meat,Morocco,2020-02-06 00:00:00,fresh meat,fresh
smoked bread,892.09,dried,Germany,2018-12-07 00:00:00,spicy dried,dried
smoked beef,436.86,canned,Poland,2019-05-03 00:00:00,fresh pastry,frozen
smoked bread,567.43,pastry,France,2020-11-23 00:00:00,fresh canned,domestic
smoked buns,110.01,pastry,Spain,2019-09-13 00:00:00,domestic processed food,dried
smoked chicken,84.19,vegetables,Brazil,2020-07-26 00:00:00,frozen pastry,spicy
domestic beans,122.77,legumes,China,2019-11-12 00:00:00,fresh legumes,dried
frozen bread,768.39,fruit,China,2019-06-06 00:00:00,dried canned,dried
imported beans,361.85,dried,Poland,2019-02-04 00:00:00,imported fruit,imported
vacuum sealed buns,723.5,pastry,Spain,2019-09-18 00:00:00,smoked processed food,dried
smoked buns,867.57,meat,Spain,2018-08-05 00:00:00,domestic canned,domestic
spicy buns,581.5,canned,Morocco,2018-10-10 00:00:00,dried meat,spicy
vacuum sealed pork,475.84,legumes,France,2018-06-20 00:00:00,spicy vegetables,spicy
dried prawns,261.81,meat,China,2020-07-03 00:00:00,fresh canned,spicy
imported broccoli,760.26,processed food,Brazil,2020-05-13 00:00:00,frozen pastry,imported
fresh bread,121.63,pastry,France,2018-04-20 00:00:00,frozen fruit,domestic
domestic beans,576.47,meat,Germany,2020-08-01 00:00:00,vacuum sealed fruit,vacuum sealed
dried beef,539.72,fruit,France,2020-08-24 00:00:00,fresh canned,imported
vacuum sealed prawns,125.57,vegetables,Germany,2018-05-13 00:00:00,dried processed food,vacuum sealed
fresh tomato,89.47,meat,Poland,2018-12-19 00:00:00,smoked meat,smoked
dried potatoes,873.58,processed food,France,2019-03-20 00:00:00,spicy canned,spicy
dried potatoes,471.38,dried,France,2020-07-11 00:00:00,fresh dried,dried
fresh buns,562.61,legumes,Morocco,2020-01-19 00:00:00,fresh meat,domestic
fresh chicken,668.78,pastry,Germany,2018-07-23 00:00:00,smoked fruit,smoked
dried chicken,186.11,canned,Germany,2019-04-17 00:00:00,imported vegetables,domestic
frozen beans,233.66,pastry,China,2018-03-22 00:00:00,domestic legumes,frozen
imported prawns,26.64,meat,Morocco,2020-03-07 00:00:00,frozen vegetables,vacuum sealed
frozen broccoli,767.22,fruit,Germany,2020-03-09 00:00:00,imported meat,frozen
dried potatoes,325.53,meat,France,2020-11-18 00:00:00,fresh vegetables,imported
dried chicken,371.73,meat,Spain,2020-06-08 00:00:00,domestic meat,frozen
domestic buns,257.32,legumes,Poland,2020-11-28 00:00:00,fresh fruit,imported
dried gurkin,926.2,pastry,Germany,2020-02-26 00:00:00,domestic meat,fresh
frozen pork,438.63,vegetables,Morocco,2019-04-06 00:00:00,smoked processed food,imported
spicy chicken,787.0,processed food,Spain,2018-06-03 00:00:00,fresh dried,frozen
dried beans,368.91,legumes,China,2018-08-02 00:00:00,frozen dried,frozen
fresh chicken,368.92,fruit,France,2020-04-10 00:00:00,fresh canned,vacuum sealed
frozen beans,837.2,canned,Morocco,2019-01-08 00:00:00,fresh pastry,smoked
imported broccoli,399.25,fruit,Spain,2020-12-12 00:00:00,spicy canned,smoked
vacuum sealed beans,537.95,processed food,Germany,2020-06-26 00:00:00,frozen vegetables,frozen
domestic potatoes,302.84,dried,Spain,2018-11-03 00:00:00,dried dried,fresh
spicy beef,705.11,legumes,Brazil,2018-07-23 00:00:00,smoked pastry,dried
dried buns,47.7,legumes,China,2018-07-05 00:00:00,smoked fruit,dried
domestic broccoli,577.53,processed food,Morocco,2020-10-15 00:00:00,dried fruit,spicy
domestic lentils,28.14,processed food,Poland,2019-01-09 00:00:00,dried processed food,imported
spicy lentils,402.99,pastry,Brazil,2018-09-23 00:00:00,imported vegetables,frozen
dried paprika,5.53,vegetables,Spain,2020-06-02 00:00:00,spicy legumes,vacuum sealed
fresh potatoes,91.53,meat,China,2018-12-02 00:00:00,smoked vegetables,domestic
imported pork,593.7,pastry,Morocco,2020-06-16 00:00:00,frozen fruit,domestic
frozen buns,503.36,dried,Germany,2019-11-06 00:00:00,imported processed food,fresh
frozen gurkin,26.59,canned,Poland,2020-11-14 00:00:00,spicy dried,imported
fresh beans,835.32,fruit,China,2020-12-12 00:00:00,frozen meat,fresh
dried gurkin,751.05,legumes,China,2018-07-02 00:00:00,frozen dried,vacuum sealed
fresh beans,841.7,fruit,France,2020-04-02 00:00:00,imported vegetables,domestic
fresh bread,236.64,canned,France,2018-12-08 00:00:00,dried vegetables,imported
imported lentils,811.46,dried,China,2018-02-14 00:00:00,dried vegetables,vacuum sealed
domestic prawns,902.09,fruit,Morocco,2020-09-20 00:00:00,fresh pastry,imported
vacuum sealed broccoli,707.34,dried,Morocco,2018-01-25 00:00:00,fresh canned,vacuum sealed
dried tomato,21.84,pastry,Brazil,2020-12-04 00:00:00,imported legumes,domestic
imported gurkin,814.81,fruit,Spain,2018-02-01 00:00:00,dried canned,domestic
frozen bread,646.2,dried,China,2020-05-16 00:00:00,imported processed food,dried
frozen bread,9.82,fruit,Poland,2018-09-20 00:00:00,frozen dried,spicy
smoked tomato,494.27,processed food,Spain,2018-02-19 00:00:00,domestic vegetables,dried
domestic potatoes,409.27,canned,Brazil,2019-02-17 00:00:00,smoked pastry,frozen
domestic beef,758.38,vegetables,Poland,2020-02-27 00:00:00,smoked canned,fresh
imported potatoes,850.45,meat,Poland,2020-06-24 00:00:00,fresh pastry,vacuum sealed
smoked beef,818.69,pastry,Brazil,2019-06-19 00:00:00,frozen pastry,fresh
fresh paprika,309.42,dried,Germany,2019-09-20 00:00:00,domestic legumes,domestic
fresh beef,396.01,legumes,Germany,2019-01-05 00:00:00,frozen canned,spicy
fresh paprika,47.53,meat,Germany,2019-11-28 00:00:00,domestic pastry,fresh
dried gurkin,736.89,fruit,France,2019-01-07 00:00:00,smoked pastry,frozen
fresh prawns,602.88,meat,Brazil,2020-04-14 00:00:00,fresh processed food,dried
domestic potatoes,924.05,canned,Germany,2019-09-28 00:00:00,frozen meat,dried
fresh paprika,815.96,legumes,China,2018-09-05 00:00:00,vacuum sealed legumes,smoked
spicy beef,962.66,meat,France,2018-10-15 00:00:00,vacuum sealed processed food,domestic
domestic beef,5.93,meat,Morocco,2019-03-20 00:00:00,spicy meat,spicy
imported prawns,682.05,meat,Poland,2019-10-01 00:00:00,dried dried,frozen
spicy beans,303.67,processed food,Spain,2018-01-19 00:00:00,spicy processed food,domestic
fresh broccoli,329.22,meat,Morocco,2018-02-24 00:00:00,imported meat,vacuum sealed
fresh broccoli,731.43,legumes,China,2019-05-03 00:00:00,dried dried,spicy
imported paprika,242.35,fruit,Morocco,2018-11-06 00:00:00,spicy processed food,domestic
vacuum sealed tomato,516.4,vegetables,Morocco,2019-08-26 00:00:00,imported processed food,domestic
domestic bread,495.47,canned,Poland,2019-04-24 00:00:00,dried vegetables,vacuum sealed
dried buns,889.84,pastry,Germany,2019-05-14 00:00:00,dried vegetables,vacuum sealed
smoked bread,408.16,processed food,France,2019-11-25 00:00:00,dried vegetables,dried
vacuum sealed lentils,133.44,legumes,Spain,2020-04-08 00:00:00,domestic dried,imported
frozen paprika,707.86,pastry,France,2018-02-11 00:00:00,smoked processed food,vacuum sealed
imported paprika,186.62,meat,Morocco,2020-09-03 00:00:00,spicy meat,domestic
dried paprika,677.74,canned,Germany,2018-05-09 00:00:00,fresh legumes,vacuum sealed
domestic chicken,793.13,legumes,Germany,2020-09-18 00:00:00,smoked legumes,spicy
vacuum sealed broccoli,85.38,canned,Spain,2018-03-16 00:00:00,vacuum sealed fruit,spicy
imported paprika,567.54,fruit,China,2018-01-03 00:00:00,imported canned,smoked
domestic buns,119.51,processed food,Brazil,2019-02-22 00:00:00,dried legumes,smoked
domestic pork,634.05,meat,Germany,2020-07-01 00:00:00,fresh pastry,vacuum sealed
imported bread,857.78,legumes,Poland,2020-10-12 00:00:00,domestic dried,dried
spicy broccoli,370.49,meat,Spain,2018-12-22 00:00:00,dried legumes,fresh
fresh lentils,471.27,canned,China,2020-08-23 00:00:00,dried legumes,smoked
smoked prawns,607.27,legumes,Germany,2018-01-09 00:00:00,smoked vegetables,frozen
spicy tomato,300.3,meat,China,2020-02-27 00:00:00,spicy meat,smoked
domestic gurkin,466.41,legumes,Spain,2018-05-01 00:00:00,domestic dried,domestic
imported broccoli,661.81,meat,France,2019-11-27 00:00:00,smoked processed food,domestic
fresh bread,269.88,pastry,Spain,2018-12-20 00:00:00,spicy processed food,domestic
spicy prawns,443.82,dried,Spain,2019-12-26 00:00:00,dried meat,dried
vacuum sealed chicken,518.94,legumes,Poland,2019-08-28 00:00:00,dried legumes,frozen
fresh gurkin,194.42,dried,Morocco,2018-08-21 00:00:00,fresh vegetables,dried
domestic beans,937.91,dried,Morocco,2018-06-06 00:00:00,frozen legumes,frozen
frozen potatoes,219.56,meat,Brazil,2020-03-21 00:00:00,smoked pastry,fresh
frozen broccoli,437.84,fruit,France,2019-11-08 00:00:00,fresh pastry,imported
frozen pork,81.74,legumes,China,2020-08-13 00:00:00,domestic canned,imported
fresh beef,588.43,canned,France,2020-08-17 00:00:00,imported meat,domestic
imported gurkin,948.3,processed food,Poland,2019-09-23 00:00:00,imported meat,dried
imported gurkin,838.22,vegetables,Poland,2018-01-23 00:00:00,frozen meat,vacuum sealed
imported potatoes,531.82,pastry,Germany,2019-10-27 00:00:00,fresh meat,dried
frozen prawns,864.87,pastry,Poland,2019-12-24 00:00:00,dried canned,domestic
spicy chicken,250.79,processed food,China,2018-03-18 00:00:00,smoked fruit,domestic
fresh chicken,125.63,legumes,France,2019-01-04 00:00:00,fresh vegetables,smoked
fresh paprika,392.43,processed food,Germany,2020-10-19 00:00:00,domestic pastry,imported
dried lentils,938.46,fruit,Morocco,2018-09-07 00:00:00,domestic vegetables,dried
imported paprika,171.64,fruit,Spain,2018-05-20 00:00:00,smoked vegetables,domestic
frozen buns,81.01,fruit,Germany,2020-10-26 00:00:00,smoked legumes,fresh
vacuum sealed chicken,723.36,fruit,Morocco,2019-09-03 00:00:00,fresh dried,imported
imported buns,475.24,legumes,Germany,2018-10-17 00:00:00,domestic fruit,domestic
smoked broccoli,32.0,vegetables,China,2019-09-20 00:00:00,spicy meat,dried
frozen paprika,777.87,pastry,Germany,2019-01-21 00:00:00,dried fruit,dried
fresh lentils,689.95,pastry,Poland,2018-12-26 00:00:00,imported processed food,spicy
fresh bread,855.32,canned,France,2020-06-08 00:00:00,fresh legumes,vacuum sealed
spicy gurkin,551.81,pastry,Germany,2019-07-03 00:00:00,frozen legumes,dried
imported paprika,767.18,vegetables,Morocco,2020-01-25 00:00:00,imported legumes,fresh
spicy gurkin,275.7,pastry,Germany,2018-11-17 00:00:00,spicy dried,vacuum sealed
vacuum sealed potatoes,206.03,legumes,Brazil,2018-11-16 00:00:00,vacuum sealed pastry,imported
dried lentils,14.14,canned,France,2020-07-07 00:00:00,domestic legumes,domestic
spicy buns,959.25,legumes,France,2018-07-22 00:00:00,frozen processed food,smoked
spicy chicken,50.27,fruit,China,2019-06-24 00:00:00,dried pastry,dried
frozen prawns,297.38,dried,Morocco,2018-02-23 00:00:00,domestic legumes,vacuum sealed
smoked beef,130.45,vegetables,Spain,2018-04-28 00:00:00,dried dried,smoked
fresh buns,844.69,fruit,Germany,2020-08-27 00:00:00,frozen fruit,vacuum sealed
frozen bread,527.0,processed food,France,2020-09-21 00:00:00,fresh meat,domestic
spicy potatoes,818.71,meat,Brazil,2019-10-01 00:00:00,imported meat,vacuum sealed
frozen beef,79.48,vegetables,Spain,2020-07-18 00:00:00,frozen dried,fresh
dried lentils,105.57,dried,Poland,2020-07-17 00:00:00,imported canned,dried
vacuum sealed bread,204.79,vegetables,Spain,2020-01-20 00:00:00,vacuum sealed meat,fresh
frozen bread,305.15,pastry,Poland,2018-02-24 00:00:00,imported vegetables,fresh
imported beef,529.4,legumes,Poland,2020-02-09 00:00:00,dried vegetables,frozen
domestic pork,998.34,pastry,Brazil,2019-01-05 00:00:00,domestic meat,spicy
imported beans,878.89,canned,Germany,2018-06-02 00:00:00,smoked fruit,dried
fresh lentils,166.38,canned,Morocco,2018-01-17 00:00:00,smoked meat,dried
smoked beef,74.77,pastry,Morocco,2020-08-15 00:00:00,spicy canned,vacuum sealed
domestic buns,268.24,pastry,Spain,2019-03-18 00:00:00,domestic canned,fresh
spicy pork,307.8,processed food,France,2018-02-09 00:00:00,vacuum sealed meat,vacuum sealed
fresh tomato,139.6,legumes,China,2018-02-22 00:00:00,dried meat,smoked
spicy paprika,869.93,vegetables,Germany,2020-07-01 00:00:00,spicy dried,smoked
domestic gurkin,682.39,meat,Poland,2018-08-03 00:00:00,frozen dried,imported
vacuum sealed broccoli,34.15,processed food,France,2019-02-05 00:00:00,domestic canned,fresh
dried beef,716.8,pastry,Germany,2018-10-27 00:00:00,imported processed food,imported
dried beef,798.78,legumes,China,2018-04-03 00:00:00,smoked fruit,domestic
domestic gurkin,294.02,meat,France,2020-09-09 00:00:00,domestic pastry,vacuum sealed
spicy buns,837.54,meat,Brazil,2019-10-16 00:00:00,frozen pastry,frozen
imported tomato,213.93,fruit,Poland,2020-06-08 00:00:00,domestic vegetables,domestic
smoked beef,431.43,legumes,China,2020-10-06 00:00:00,frozen processed food,dried
imported tomato,914.14,vegetables,Morocco,2019-11-13 00:00:00,smoked pastry,vacuum sealed
dried beans,282.88,fruit,Morocco,2020-11-04 00:00:00,domestic dried,vacuum sealed
domestic pork,372.18,processed food,Spain,2020-07-24 00:00:00,domestic meat,smoked
imported tomato,561.89,fruit,Spain,2018-11-05 00:00:00,imported pastry,spicy
smoked lentils,390.16,legumes,Poland,2019-08-20 00:00:00,fresh meat,frozen
imported beans,620.04,canned,Morocco,2018-08-17 00:00:00,fresh processed food,vacuum sealed
domestic paprika,516.61,meat,Germany,2018-03-08 00:00:00,vacuum sealed pastry,imported
frozen gurkin,711.4,legumes,France,2020-07-08 00:00:00,dried processed food,domestic
spicy lentils,645.73,fruit,Morocco,2018-06-04 00:00:00,frozen fruit,spicy
frozen buns,789.78,dried,Brazil,2019-10-09 00:00:00,smoked legumes,frozen
dried bread,876.57,vegetables,France,2018-03-26 00:00:00,domestic meat,domestic
fresh tomato,110.15,legumes,Morocco,2019-10-16 00:00:00,fresh meat,vacuum sealed
frozen paprika,260.76,canned,Spain,2019-02-18 00:00:00,vacuum sealed canned,imported
vacuum sealed tomato,967.06,processed food,China,2020-03-28 00:00:00,fresh meat,spicy
vacuum sealed beef,157.48,canned,Germany,2018-08-06 00:00:00,frozen fruit,domestic
dried bread,748.45,pastry,Poland,2018-02-28 00:00:00,dried canned,smoked
domestic bread,563.02,fruit,Morocco,2018-01-08 00:00:00,spicy legumes,smoked
dried lentils,141.78,pastry,China,2018-12-26 00:00:00,vacuum sealed processed food,smoked
frozen beef,711.77,fruit,France,2019-03-11 00:00:00,frozen meat,domestic
imported lentils,899.49,legumes,Brazil,2019-10-11 00:00:00,domestic legumes,fresh
smoked beans,567.35,meat,Poland,2018-05-04 00:00:00,vacuum sealed legumes,spicy
fresh paprika,595.98,processed food,Brazil,2019-12-05 00:00:00,dried fruit,imported
imported gurkin,64.32,legumes,Morocco,2019-07-01 00:00:00,frozen canned,fresh
frozen lentils,677.62,fruit,Germany,2020-02-11 00:00:00,spicy processed food,smoked
smoked beef,324.02,meat,Brazil,2020-02-13 00:00:00,imported legumes,dried
spicy prawns,923.35,legumes,Morocco,2019-12-22 00:00:00,domestic fruit,smoked
spicy broccoli,415.48,vegetables,Morocco,2018-09-24 00:00:00,smoked pastry,imported
dried tomato,926.17,legumes,Poland,2018-11-02 00:00:00,spicy vegetables,smoked
domestic potatoes,780.29,vegetables,Spain,2020-03-17 00:00:00,domestic legumes,spicy
fresh potatoes,589.31,canned,Poland,2018-08-10 00:00:00,frozen dried,smoked
domestic potatoes,142.11,legumes,Morocco,2020-01-10 00:00:00,smoked fruit,vacuum sealed
frozen broccoli,740.8,legumes,France,2020-10-11 00:00:00,vacuum sealed pastry,smoked
imported broccoli,818.94,legumes,Poland,2018-05-16 00:00:00,domestic pastry,fresh
smoked beef,128.35,fruit,Brazil,2020-08-17 00:00:00,dried legumes,frozen
spicy prawns,442.43,processed food,Poland,2019-12-17 00:00:00,vacuum sealed vegetables,imported
vacuum sealed buns,60.11,fruit,Germany,2019-01-05 00:00:00,dried dried,frozen
domestic buns,988.57,processed food,France,2019-03-07 00:00:00,smoked vegetables,dried
frozen tomato,301.85,pastry,Spain,2018-02-17 00:00:00,vacuum sealed fruit,vacuum sealed
spicy lentils,694.0,vegetables,Poland,2020-10-19 00:00:00,smoked pastry,dried
domestic chicken,638.92,canned,Spain,2020-07-02 00:00:00,spicy dried,smoked
spicy tomato,888.35,legumes,China,2018-12-09 00:00:00,spicy vegetables,smoked
imported tomato,868.58,dried,China,2018-06-01 00:00:00,imported meat,domestic
fresh potatoes,165.63,fruit,Germany,2019-04-22 00:00:00,fresh fruit,domestic
domestic pork,559.95,meat,China,2018-09-23 00:00:00,spicy pastry,smoked
frozen beans,409.4,meat,Brazil,2018-01-16 00:00:00,spicy legumes,domestic
spicy lentils,259.06,fruit,Brazil,2020-04-12 00:00:00,imported canned,frozen
frozen lentils,566.47,legumes,Brazil,2018-05-26 00:00:00,smoked meat,fresh
dried potatoes,996.46,pastry,Germany,2019-04-03 00:00:00,vacuum sealed fruit,vacuum sealed
domestic beef,876.58,legumes,China,2020-08-03 00:00:00,frozen vegetables,domestic
imported chicken,769.3,dried,Spain,2019-04-06 00:00:00,imported processed food,vacuum sealed
dried beans,729.41,processed food,China,2020-05-12 00:00:00,fresh processed food,frozen
dried potatoes,150.89,pastry,France,2019-08-11 00:00:00,dried canned,fresh
dried buns,311.13,pastry,Spain,2018-06-21 00:00:00,dried legumes,dried
dried lentils,114.0,meat,China,2019-04-06 00:00:00,domestic dried,domestic
imported prawns,531.95,canned,China,2019-12-24 00:00:00,domestic processed food,domestic
spicy beans,706.9,legumes,France,2020-06-16 00:00:00,spicy canned,frozen
imported lentils,117.24,legumes,Poland,2020-02-17 00:00:00,dried dried,frozen
vacuum sealed beans,951.5,legumes,Spain,2019-12-10 00:00:00,imported vegetables,dried
smoked tomato,91.91,fruit,Spain,2020-02-10 00:00:00,domestic processed food,vacuum sealed
frozen lentils,859.39,pastry,France,2018-01-19 00:00:00,dried canned,smoked
smoked potatoes,329.8,vegetables,Germany,2020-02-27 00:00:00,smoked fruit,dried
imported broccoli,328.21,legumes,China,2018-10-17 00:00:00,dried pastry,vacuum sealed
vacuum sealed pork,25.12,meat,France,2020-12-08 00:00:00,spicy pastry,domestic
smoked bread,64.53,pastry,China,2018-11-03 00:00:00,dried canned,vacuum sealed
dried beef,749.55,dried,Spain,2018-06-09 00:00:00,dried fruit,domestic
imported gurkin,175.17,pastry,Poland,2018-06-02 00:00:00,imported canned,domestic
fresh potatoes,366.27,dried,Morocco,2020-09-18 00:00:00,fresh dried,vacuum sealed
fresh paprika,981.97,pastry,Morocco,2018-03-14 00:00:00,imported fruit,spicy
fresh paprika,20.22,vegetables,Poland,2020-12-27 00:00:00,smoked meat,fresh
dried pork,938.67,vegetables,Poland,2020-06-27 00:00:00,spicy vegetables,fresh
dried bread,817.87,fruit,Poland,2019-06-03 00:00:00,smoked processed food,frozen
dried beef,949.24,dried,Spain,2020-03-26 00:00:00,dried canned,vacuum sealed
imported bread,424.39,dried,Brazil,2018-05-25 00:00:00,smoked vegetables,domestic
frozen lentils,911.29,dried,France,2020-06-08 00:00:00,vacuum sealed processed food,spicy
frozen prawns,399.65,pastry,Morocco,2020-05-14 00:00:00,frozen processed food,vacuum sealed
vacuum sealed buns,569.09,fruit,Brazil,2020-02-12 00:00:00,fresh pastry,frozen
smoked lentils,906.9,dried,Brazil,2019-03-26 00:00:00,smoked legumes,spicy
frozen broccoli,843.26,processed food,Germany,2020-07-25 00:00:00,dried pastry,fresh
domestic prawns,757.44,canned,Spain,2018-06-23 00:00:00,vacuum sealed dried,dried
domestic broccoli,790.2,meat,Morocco,2018-06-07 00:00:00,spicy canned,smoked
domestic beans,70.12,vegetables,Germany,2019-07-15 00:00:00,domestic meat,spicy
smoked buns,279.96,canned,Poland,2018-02-03 00:00:00,fresh canned,frozen
dried potatoes,956.37,vegetables,Brazil,2018-05-10 00:00:00,fresh vegetables,domestic
dried potatoes,2.06,vegetables,Germany,2019-04-04 00:00:00,vacuum sealed meat,fresh
imported paprika,608.6,processed food,Poland,2018-05-25 00:00:00,dried meat,frozen
spicy buns,968.73,processed food,France,2020-03-22 00:00:00,fresh processed food,dried
dried tomato,986.57,pastry,France,2020-05-09 00:00:00,vacuum sealed dried,smoked
spicy beans,913.37,processed food,Morocco,2019-02-11 00:00:00,vacuum sealed canned,imported
domestic gurkin,526.34,dried,Germany,2020-07-14 00:00:00,domestic canned,smoked
vacuum sealed beans,823.06,meat,Spain,2018-09-22 00:00:00,imported pastry,imported
frozen gurkin,203.92,meat,Spain,2020-03-05 00:00:00,domestic processed food,dried
vacuum sealed pork,977.44,legumes,Germany,2019-11-08 00:00:00,imported processed food,smoked
fresh gurkin,173.55,meat,China,2018-09-21 00:00:00,domestic vegetables,domestic
vacuum sealed broccoli,173.91,legumes,China,2019-01-06 00:00:00,domestic legumes,smoked
frozen buns,450.29,dried,China,2018-01-02 00:00:00,imported processed food,domestic
fresh chicken,138.39,processed food,Spain,2018-04-27 00:00:00,frozen fruit,fresh
frozen paprika,563.19,vegetables,Spain,2020-02-23 00:00:00,vacuum sealed fruit,fresh
vacuum sealed bread,201.43,pastry,Morocco,2019-09-04 00:00:00,fresh meat,vacuum sealed
fresh chicken,228.2,legumes,China,2019-09-28 00:00:00,fresh meat,fresh
imported gurkin,10.41,vegetables,Spain,2018-12-28 00:00:00,fresh fruit,smoked
smoked beans,413.46,pastry,Germany,2019-01-17 00:00:00,dried processed food,frozen
dried paprika,156.18,fruit,Spain,2018-09-26 00:00:00,fresh meat,domestic
imported potatoes,964.6,meat,China,2018-01-22 00:00:00,spicy legumes,vacuum sealed
